PLAYER,TEAM,PLAYER,TEAM,Minute,Partial Possessions (portion of team possessions while player was on court),% of Time Playing Defense,% of Time Playing Offense,% of Time Both Players Were On the Court Together,Player Points Scored,Team Points Scored,Assists,Turnovers,Blocks,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3-Point Shots Made,3-Point Shots Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Shooting Fouls Drawn (fouls committed against the player while shooting)
OG Anunoby,NYK,Max Strus,CLE,00:47,4.2,6.4,6.5,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OG Anunoby,NYK,Jaylon Tyson,CLE,00:16,1.9,7.5,2.2,20.8,2,2,0,0,0,0,0,0,0,0,0,2,2,1
OG Anunoby,NYK,Dean Wade,CLE,00:32,3.7,8,4.4,8.5,2,7,0,0,0,0,0,0,0,0,0,2,2,1
Karl-Anthony Towns,NYK,Jarrett Allen,CLE,03:47,22,27.4,27.6,33.5,2,30,1,0,0,0,1,0,0,1,0,2,2,1
Karl-Anthony Towns,NYK,James Harden,CLE,01:06,5.3,6.8,8.1,9.7,5,11,0,0,0,2,2,100,1,1,100,0,0,0
Karl-Anthony Towns,NYK,Sam Merrill,CLE,00:11,0.6,2.1,1.4,4,2,5,0,0,0,0,0,0,0,0,0,2,2,1
Karl-Anthony Towns,NYK,Donovan Mitchell,CLE,00:36,4,4.1,4.4,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,NYK,Evan Mobley,CLE,06:32,30.7,45.6,47.5,56.7,2,34,4,0,0,1,5,20,0,1,0,0,0,0
Karl-Anthony Towns,NYK,Dennis Schröder,CLE,00:01,0.2,0.7,0.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,NYK,Max Strus,CLE,00:51,4.3,7,6.2,10.7,2,9,0,0,0,1,1,100,0,0,0,0,0,0
Karl-Anthony Towns,NYK,Jaylon Tyson,CLE,00:15,1.1,7,1.8,11.3,0,4,1,0,0,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,NYK,Dean Wade,CLE,01:05,5.2,16.5,7.9,17.9,0,4,0,0,0,0,1,0,0,0,0,0,0,0
Mikal Bridges,NYK,Jarrett Allen,CLE,00:49,3.7,5.8,5.2,5.8,2,7,0,0,0,1,1,100,0,0,0,0,0,0
Mikal Bridges,NYK,James Harden,CLE,04:39,22.8,28.6,29.6,30.9,8,34,1,0,0,4,5,80,0,1,0,0,0,0
Mikal Bridges,NYK,Sam Merrill,CLE,01:53,8.6,21,12,32.2,0,10,0,0,0,0,1,0,0,0,0,0,0,0
Mikal Bridges,NYK,Donovan Mitchell,CLE,03:34,17.9,24.2,22.7,26.9,6,23,2,0,0,3,3,100,0,0,0,0,0,0
Mikal Bridges,NYK,Evan Mobley,CLE,00:38,4.2,4.4,4,5.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mikal Bridges,NYK,Dennis Schröder,CLE,00:07,0.5,3.2,0.7,22.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mikal Bridges,NYK,Max Strus,CLE,02:00,10.4,16.5,12.8,20.1,0,13,0,0,0,0,2,0,0,0,0,0,0,0
Mikal Bridges,NYK,Jaylon Tyson,CLE,01:11,6.7,33.6,7.5,44.9,4,9,0,0,0,2,2,100,0,0,0,0,0,0
Mikal Bridges,NYK,Dean Wade,CLE,00:42,3.3,10.5,4.4,11.2,4,6,0,0,0,2,2,100,0,0,0,0,0,0
Jalen Brunson,NYK,Jarrett Allen,CLE,01:13,6.1,8.8,7.5,10,4,13,2,1,0,2,4,50,0,1,0,0,0,0
Jalen Brunson,NYK,James Harden,CLE,01:32,8,9.5,9.5,10.1,4,10,1,1,0,2,4,50,0,1,0,0,0,0
Jalen Brunson,NYK,Sam Merrill,CLE,00:19,1.7,3.6,2,5,2,4,0,0,0,0,1,0,0,0,0,2,2,0
Jalen Brunson,NYK,Donovan Mitchell,CLE,02:03,11.7,13.9,12.6,16.8,8,20,1,0,0,3,5,60,0,0,0,2,2,1
Jalen Brunson,NYK,Evan Mobley,CLE,01:12,6.2,8.4,7.4,9.4,4,8,0,0,0,2,2,100,0,0,0,0,0,0
Jalen Brunson,NYK,Dennis Schröder,CLE,01:54,9.4,52.2,11.6,69,4,14,1,1,0,1,1,100,0,0,0,2,2,1
Jalen Brunson,NYK,Max Strus,CLE,04:43,24.3,38.7,29,39.7,7,22,2,1,0,2,4,50,0,1,0,3,4,1
Jalen Brunson,NYK,Jaylon Tyson,CLE,00:01,0.1,0.7,0.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Brunson,NYK,Dean Wade,CLE,03:47,19,57.2,23.3,57.2,2,25,1,0,0,1,2,50,0,1,0,0,0,0
Miles McBride,NYK,Jarrett Allen,CLE,00:02,0.1,0.2,0.6,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles McBride,NYK,Sam Merrill,CLE,02:50,14.5,31.5,52.9,52.9,2,24,0,0,0,0,1,0,0,1,0,2,2,1
Miles McBride,NYK,Donovan Mitchell,CLE,01:17,6,8.7,24.1,40,3,8,0,0,0,1,1,100,1,1,100,0,0,0
Miles McBride,NYK,Evan Mobley,CLE,00:09,0.6,1,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles McBride,NYK,Dennis Schröder,CLE,00:27,1.3,12.6,8.5,12.6,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Miles McBride,NYK,Max Strus,CLE,00:24,1.2,3.3,7.5,10.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Miles McBride,NYK,Jaylon Tyson,CLE,00:19,1.5,8.9,5.8,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Shamet,NYK,Jarrett Allen,CLE,00:02,0.1,0.2,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Shamet,NYK,James Harden,CLE,01:16,5.4,7.8,11.7,15.3,5,14,1,0,0,1,1,100,1,1,100,2,3,1
Landry Shamet,NYK,Sam Merrill,CLE,02:27,11.5,27.3,22.5,31.3,3,15,1,0,0,1,1,100,1,1,100,0,0,0
Landry Shamet,NYK,Donovan Mitchell,CLE,03:33,18.2,24.1,32.7,40.6,3,17,0,0,0,1,1,100,1,1,100,0,0,0
Landry Shamet,NYK,Evan Mobley,CLE,00:12,1,1.4,1.8,2.3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Landry Shamet,NYK,Dennis Schröder,CLE,00:03,0.2,1.4,0.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Shamet,NYK,Max Strus,CLE,02:17,10.8,18.7,20.9,25.3,0,13,1,1,0,0,0,0,0,0,0,0,0,0
Landry Shamet,NYK,Jaylon Tyson,CLE,00:38,2.4,17.8,5.7,40.4,0,5,0,0,0,0,1,0,0,1,0,0,0,0
Landry Shamet,NYK,Dean Wade,CLE,00:02,0.1,0.6,0.4,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,Jarrett Allen,CLE,02:11,10.4,15.8,59.5,96.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,James Harden,CLE,00:03,0.1,0.3,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,Sam Merrill,CLE,00:04,0.3,0.8,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,Donovan Mitchell,CLE,00:03,0.5,0.4,1.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,Evan Mobley,CLE,01:21,6.7,9.4,36.8,95.5,2,9,0,0,0,1,1,100,0,0,0,0,0,0
Mitchell Robinson,NYK,Dennis Schröder,CLE,00:02,0.1,0.9,0.9,1.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,NYK,Max Strus,CLE,00:04,0.2,0.5,1.7,2.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,NYK,James Harden,CLE,00:14,1.4,1.5,15.2,34.3,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Jose Alvarado,NYK,Sam Merrill,CLE,00:25,1.5,4.6,26.3,26.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,NYK,Donovan Mitchell,CLE,00:03,0.2,0.3,3.2,3.2,2,2,0,0,0,1,1,100,0,0,0,0,0,0
Jose Alvarado,NYK,Dennis Schröder,CLE,00:45,4.4,20.8,47.8,85.8,0,2,0,0,0,0,1,0,0,1,0,0,0,0
Jordan Clarkson,NYK,James Harden,CLE,00:02,0.1,0.2,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Clarkson,NYK,Donovan Mitchell,CLE,00:47,3.7,5.3,58.8,96.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Clarkson,NYK,Jaylon Tyson,CLE,00:29,1.8,14,37.1,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Clarkson,NYK,Dean Wade,CLE,00:01,0.1,0.4,1.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
